2026-05-21 22:04:18,661 | INFO | Clicked Heels
2026-05-22 13:37:09,155 | INFO | Hovered on GENZ
2026-05-22 13:37:24,629 | INFO | Clicked Women's Dresses
2026-05-23 17:18:09,659 | INFO | Starting scenario: Women's Dresses E2E
2026-05-23 17:18:09,661 | INFO | Chrome browser launched
2026-05-23 17:18:09,662 | INFO | Maximized browser window
2026-05-23 17:18:22,396 | INFO | Opened Myntra website
2026-05-23 17:18:22,402 | INFO | Navigating to Myntra homepage
2026-05-23 17:18:22,405 | INFO | Searching GENZ menu
2026-05-23 17:18:25,498 | INFO | Completed scenario: Women's Dresses E2E
2026-05-23 17:18:25,599 | INFO | Starting scenario: Men's T-Shirts Positive
2026-05-23 17:18:25,600 | INFO | Chrome browser launched
2026-05-23 17:18:25,600 | INFO | Maximized browser window
2026-05-23 17:18:25,602 | INFO | Completed scenario: Men's T-Shirts Positive
2026-05-23 17:18:56,524 | INFO | Starting scenario: Women's Dresses E2E
2026-05-23 17:18:56,524 | INFO | Chrome browser launched
2026-05-23 17:18:56,525 | INFO | Maximized browser window
2026-05-23 17:19:02,629 | INFO | Opened Myntra website
2026-05-23 17:19:03,158 | INFO | Completed scenario: Women's Dresses E2E
2026-05-23 17:19:06,281 | INFO | Starting scenario: Men's T-Shirts Positive
2026-05-23 17:19:06,282 | INFO | Chrome browser launched
2026-05-23 17:19:06,282 | INFO | Maximized browser window
2026-05-23 17:19:11,234 | INFO | Opened Myntra website
2026-05-23 17:19:11,241 | INFO | Navigating to Myntra homepage
2026-05-23 17:19:11,243 | INFO | Searching GENZ menu
2026-05-23 17:19:18,695 | INFO | Hovered on GENZ
2026-05-23 17:19:26,698 | INFO | Searching Men's Casual Wear section
2026-05-23 17:19:27,285 | INFO | Clicked Men's T-Shirts
2026-05-23 17:19:27,287 | INFO | Verifying products are displayed
2026-05-23 17:19:29,006 | INFO | Products loaded successfully
2026-05-23 17:19:29,007 | INFO | Completed scenario: Men's T-Shirts Positive
2026-05-23 17:19:32,037 | INFO | Starting scenario: Men's Kurtas Positive
2026-05-23 17:19:32,038 | INFO | Chrome browser launched
2026-05-23 17:19:32,038 | INFO | Maximized browser window
2026-05-23 17:19:37,848 | INFO | Opened Myntra website
2026-05-23 17:19:37,853 | INFO | Navigating to Myntra homepage
2026-05-23 17:19:37,854 | INFO | Searching GENZ menu
2026-05-23 17:19:45,248 | INFO | Hovered on GENZ
2026-05-23 17:19:55,323 | INFO | Searching Men's Occasion Wear section
2026-05-23 17:20:01,745 | INFO | Clicked Men's Kurtas
2026-05-23 17:20:01,747 | INFO | Verifying products are displayed
2026-05-23 17:20:03,825 | INFO | Products loaded successfully
2026-05-23 17:20:03,828 | INFO | Completed scenario: Men's Kurtas Positive
2026-05-23 17:20:06,665 | INFO | Starting scenario: Men's Shoes Positive
2026-05-23 17:20:06,666 | INFO | Chrome browser launched
2026-05-23 17:20:06,667 | INFO | Maximized browser window
2026-05-23 17:20:12,469 | INFO | Opened Myntra website
2026-05-23 17:20:12,474 | INFO | Navigating to Myntra homepage
2026-05-23 17:20:12,476 | INFO | Searching GENZ menu
2026-05-23 17:20:19,873 | INFO | Hovered on GENZ
2026-05-23 17:20:29,948 | INFO | Searching Men's Footwear section
2026-05-23 17:20:35,470 | INFO | Clicked Men's Shoes
2026-05-23 17:20:35,472 | INFO | Verifying products are displayed
2026-05-23 17:20:37,031 | INFO | Products loaded successfully
2026-05-23 17:20:37,032 | INFO | Completed scenario: Men's Shoes Positive
2026-05-23 17:20:39,882 | INFO | Starting scenario: Beauty Skincare Positive
2026-05-23 17:20:39,882 | INFO | Chrome browser launched
2026-05-23 17:20:39,882 | INFO | Maximized browser window
2026-05-23 17:20:45,783 | INFO | Opened Myntra website
2026-05-23 17:20:45,788 | INFO | Navigating to Myntra homepage
2026-05-23 17:20:45,790 | INFO | Searching GENZ menu
2026-05-23 17:20:53,184 | INFO | Hovered on GENZ
2026-05-23 17:21:03,258 | INFO | Searching Beauty & Grooming
2026-05-23 17:21:10,655 | INFO | Clicked Skincare
2026-05-23 17:21:10,659 | INFO | Verifying products are displayed
2026-05-23 17:21:10,695 | INFO | Products loaded successfully
2026-05-23 17:21:10,696 | INFO | Completed scenario: Beauty Skincare Positive
2026-05-23 17:21:13,457 | INFO | Starting scenario: Jewellery Negative
2026-05-23 17:21:13,458 | INFO | Chrome browser launched
2026-05-23 17:21:13,459 | INFO | Maximized browser window
2026-05-23 17:21:17,469 | INFO | Opened Myntra website
2026-05-23 17:21:17,569 | INFO | Navigating to Myntra homepage
2026-05-23 17:21:17,571 | INFO | Searching GENZ menu
2026-05-23 17:21:25,192 | INFO | Hovered on GENZ
2026-05-23 17:21:35,273 | INFO | Searching Accessories section
2026-05-23 17:21:40,907 | INFO | Clicked Jwellery
2026-05-23 17:21:42,439 | INFO | Completed scenario: Jewellery Negative
2026-05-23 17:21:45,291 | INFO | Starting scenario: Heels Negative
2026-05-23 17:21:45,292 | INFO | Chrome browser launched
2026-05-23 17:21:45,292 | INFO | Maximized browser window
2026-05-23 17:21:50,577 | INFO | Opened Myntra website
2026-05-23 17:21:50,584 | INFO | Navigating to Myntra homepage
2026-05-23 17:21:50,587 | INFO | Searching GENZ menu
2026-05-23 17:21:57,978 | INFO | Hovered on GENZ
